frameno;frametime;red_count;green_count;red_pos;green_pos
1401;0.0124969482422;1;2;"[(21.5, 128.5)]";"[(422.5, 115.5), (168.5, 97.5)]"
1402;0.00837993621826;0;1;"[]";"[(431.5, 112.5)]"
1403;0.0108160972595;0;1;"[]";"[(438.5, 110.5)]"
1404;0.00793099403381;1;2;"[(75.5, 134.5)]";"[(446.5, 111.5), (190.5, 93.5)]"
1405;0.0107409954071;0;1;"[]";"[(191.5, 93.5)]"
1406;0.0110459327698;0;2;"[]";"[(191.5, 95.5), (450.5, 113.5)]"
1407;0.00792288780212;0;1;"[]";"[(452.5, 114.5)]"
1408;0.0115430355072;0;2;"[]";"[(453.5, 115.5), (191.5, 96.5)]"
1409;0.00808095932007;0;1;"[]";"[(457.5, 116.5)]"
1410;0.0118401050568;0;2;"[]";"[(460.5, 118.5), (195.5, 100.5)]"
1411;0.00829792022705;0;2;"[]";"[(464.5, 118.5), (197.5, 99.5)]"
1412;0.00672698020935;0;1;"[]";"[(468.5, 116.5)]"
1413;0.00976395606995;0;1;"[]";"[(200.5, 95.5)]"
1414;0.0124890804291;0;2;"[]";"[(192.5, 93.5), (464.5, 114.5)]"
1415;0.0122301578522;0;2;"[]";"[(183.5, 93.5), (457.5, 115.5)]"
1416;0.0124838352203;0;2;"[]";"[(452.5, 114.5), (176.5, 92.5)]"
1417;0.00817203521729;0;1;"[]";"[(173.5, 93.5)]"
1418;0.006756067276;0;2;"[]";"[(449.5, 117.5), (173.5, 95.5)]"
1419;0.010204076767;0;2;"[]";"[(174.5, 95.5), (453.5, 118.5)]"
1420;0.0118680000305;0;2;"[]";"[(455.5, 118.5), (175.5, 94.5)]"
1421;0.0121710300446;0;2;"[]";"[(456.5, 115.5), (175.5, 92.5)]"
1422;0.0123579502106;0;2;"[]";"[(455.5, 114.5), (173.5, 90.5)]"
1423;0.0121669769287;0;2;"[]";"[(173.5, 93.5), (455.5, 117.5)]"
1424;0.0120689868927;0;2;"[]";"[(172.5, 95.5), (455.5, 119.5)]"
1425;0.0120708942413;0;2;"[]";"[(163.5, 96.5), (448.5, 121.5)]"
1426;0.00801014900208;0;2;"[]";"[(439.5, 118.5), (153.5, 92.5)]"
1427;0.608949184418;0;2;"[]";"[(439.5, 118.5), (153.5, 92.5)]"
1428;0.00558614730835;0;1;"[]";"[(138.5, 90.5)]"
1429;0.00972104072571;0;2;"[]";"[(425.5, 119.5), (136.5, 93.5)]"
1430;0.010509967804;0;2;"[]";"[(422.5, 123.5), (132.5, 98.5)]"
1431;0.0114009380341;0;2;"[]";"[(415.5, 124.5), (124.5, 98.5)]"
1432;0.00748085975647;0;2;"[]";"[(407.5, 123.5), (115.5, 98.5)]"
1433;0.0102889537811;0;2;"[]";"[(107.5, 97.5), (402.5, 123.5)]"
1434;0.0112760066986;0;2;"[]";"[(102.5, 97.5), (397.5, 123.5)]"
1435;0.0114259719849;0;2;"[]";"[(393.5, 121.5), (97.5, 95.5)]"
1436;0.0112228393555;0;2;"[]";"[(94.5, 93.5), (390.5, 119.5)]"
1437;0.0113749504089;0;2;"[]";"[(389.5, 119.5), (92.5, 92.5)]"
1438;0.011351108551;0;1;"[]";"[(91.5, 92.5)]"
1439;0.0114040374756;0;2;"[]";"[(388.5, 120.5), (90.5, 94.5)]"
1440;0.0113770961761;0;2;"[]";"[(387.5, 121.5), (89.5, 95.5)]"
1441;0.0113070011139;0;1;"[]";"[(87.5, 95.5)]"
1442;0.0116710662842;0;2;"[]";"[(385.5, 122.5), (88.5, 96.5)]"
1443;0.011332988739;0;2;"[]";"[(387.5, 121.5), (90.5, 95.5)]"
1444;0.0113830566406;0;2;"[]";"[(92.5, 96.5), (389.5, 121.5)]"
1445;0.0117959976196;0;2;"[]";"[(391.5, 123.5), (94.5, 97.5)]"
1446;0.00796699523926;0;2;"[]";"[(391.5, 122.5), (95.5, 96.5)]"
1447;0.00652408599854;0;2;"[]";"[(96.5, 100.5), (392.5, 125.5)]"
1448;0.00996398925781;0;2;"[]";"[(98.5, 101.5), (393.5, 126.5)]"
1449;0.011873960495;0;2;"[]";"[(101.5, 101.5), (395.5, 127.5)]"
1450;0.0121459960938;0;2;"[]";"[(391.5, 126.5), (97.5, 100.5)]"
1451;0.0120310783386;0;2;"[]";"[(92.5, 98.5), (386.5, 124.5)]"
1452;0.0114719867706;0;1;"[]";"[(374.5, 121.5)]"
1453;0.0120420455933;0;2;"[]";"[(67.5, 93.5), (359.5, 118.5)]"
1454;0.011974811554;0;2;"[]";"[(55.5, 92.5), (347.5, 116.5)]"
1455;0.0121920108795;0;2;"[]";"[(330.5, 115.5), (39.5, 91.5)]"
1456;0.0121450424194;0;2;"[]";"[(311.5, 114.5), (23.5, 89.5)]"
1457;0.0118360519409;0;1;"[]";"[(298.5, 113.5)]"
1458;0.0120270252228;0;2;"[]";"[(13.5, 93.5), (297.5, 116.5)]"
1459;0.0118939876556;0;2;"[]";"[(300.5, 118.5), (19.5, 98.5)]"
1460;0.0118730068207;0;2;"[]";"[(24.5, 103.5), (301.5, 123.5)]"
1461;0.0121998786926;0;2;"[]";"[(302.5, 126.5), (27.5, 106.5)]"
1462;0.0121719837189;0;2;"[]";"[(27.5, 109.5), (299.5, 127.5)]"
1463;0.012186050415;0;1;"[]";"[(23.5, 109.5)]"
1464;0.0116109848022;0;2;"[]";"[(296.5, 125.5), (27.5, 107.5)]"
1465;0.0119860172272;0;2;"[]";"[(300.5, 124.5), (31.5, 106.5)]"
1466;0.00808596611023;0;1;"[]";"[(305.5, 121.5)]"
1467;0.00666809082031;0;2;"[]";"[(313.5, 116.5), (48.5, 100.5)]"
